Set Number,Name,Year,Theme ID,Parts,Status,Image URL,Set URL
10281-1,Bonsai,2021,769,878,SETS_USED,https://cdn.rebrickable.com/media/sets/10281-1/148031.jpg,https://rebrickable.com/sets/10281-1/bonsai/
10300-1,Back to the Future Time Machine,2022,721,1872,SETS_USED,https://cdn.rebrickable.com/media/sets/10300-1/99954.jpg,https://rebrickable.com/sets/10300-1/back-to-the-future-time-machine/
10333-1,The Lord of the Rings: Barad-dûr,2024,721,5478,SETS_USED,https://cdn.rebrickable.com/media/sets/10333-1/140959.jpg,https://rebrickable.com/sets/10333-1/the-lord-of-the-rings-barad-dûr/
10339-1,Santa's Post Office,2024,227,1440,SETS_USED,https://cdn.rebrickable.com/media/sets/10339-1/145964.jpg,https://rebrickable.com/sets/10339-1/santas-post-office/
10341-1,NASA Artemis Space Launch System,2024,721,3601,SETS_USED,https://cdn.rebrickable.com/media/sets/10341-1/139647.jpg,https://rebrickable.com/sets/10341-1/nasa-artemis-space-launch-system/
10355-1,Blacktron Renegade,2025,721,1151,SETS_USED,https://cdn.rebrickable.com/media/sets/10355-1/150081.jpg,https://rebrickable.com/sets/10355-1/blacktron-renegade/
10355-1,Blacktron Renegade,2025,721,1151,SETS_SEALED,https://cdn.rebrickable.com/media/sets/10355-1/150081.jpg,https://rebrickable.com/sets/10355-1/blacktron-renegade/
10368-1,Chrysanthemum,2024,769,278,SETS_USED,https://cdn.rebrickable.com/media/sets/10368-1/142103.jpg,https://rebrickable.com/sets/10368-1/chrysanthemum/
10369-1,Plum Blossom,2024,769,327,SETS_USED,https://cdn.rebrickable.com/media/sets/10369-1/142106.jpg,https://rebrickable.com/sets/10369-1/plum-blossom/
10497-1,Galaxy Explorer,2022,721,1254,SETS_USED,https://cdn.rebrickable.com/media/sets/10497-1/104009.jpg,https://rebrickable.com/sets/10497-1/galaxy-explorer/
11037-1,Creative Space Planets,2024,621,450,SETS_SEALED,https://cdn.rebrickable.com/media/sets/11037-1/133275.jpg,https://rebrickable.com/sets/11037-1/creative-space-planets/
122333-1,Owen's Mega Motorcycle,2023,602,14,SETS_SEALED,https://cdn.rebrickable.com/media/sets/122333-1/134191.jpg,https://rebrickable.com/sets/122333-1/owens-mega-motorcycle/
2045-1,Car,1999,470,17,SETS_USED,https://cdn.rebrickable.com/media/sets/2045-1/4122.jpg,https://rebrickable.com/sets/2045-1/car/
21326-1,Winnie the Pooh,2021,576,1265,SETS_SEALED,https://cdn.rebrickable.com/media/sets/21326-1/83625.jpg,https://rebrickable.com/sets/21326-1/winnie-the-pooh/
21328-1,Seinfeld,2021,576,1326,SETS_USED,https://cdn.rebrickable.com/media/sets/21328-1/90023.jpg,https://rebrickable.com/sets/21328-1/seinfeld/
21336-1,The Office,2022,576,1165,SETS_USED,https://cdn.rebrickable.com/media/sets/21336-1/105200.jpg,https://rebrickable.com/sets/21336-1/the-office/
21342-1,The Insect Collection,2023,576,1111,SETS_USED,https://cdn.rebrickable.com/media/sets/21342-1/126471.jpg,https://rebrickable.com/sets/21342-1/the-insect-collection/
30280-1,The Piece of Resistance,2014,578,33,SETS_USED,https://cdn.rebrickable.com/media/sets/30280-1/6347.jpg,https://rebrickable.com/sets/30280-1/the-piece-of-resistance/
30280-1,The Piece of Resistance,2014,578,33,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30280-1/6347.jpg,https://rebrickable.com/sets/30280-1/the-piece-of-resistance/
30280-1,The Piece of Resistance,2014,578,33,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30280-1/6347.jpg,https://rebrickable.com/sets/30280-1/the-piece-of-resistance/
30340-1,Emmet's 'Piece' Offering,2019,670,44,SETS_USED,https://cdn.rebrickable.com/media/sets/30340-1/11064.jpg,https://rebrickable.com/sets/30340-1/emmets-piece-offering/
30340-1,Emmet's 'Piece' Offering,2019,670,44,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30340-1/11064.jpg,https://rebrickable.com/sets/30340-1/emmets-piece-offering/
30390-1,Dinosaur Market,2022,602,34,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30390-1/101067.jpg,https://rebrickable.com/sets/30390-1/dinosaur-market/
30433-1,Volvo Wheel Loader,2022,1,69,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30433-1/100905.jpg,https://rebrickable.com/sets/30433-1/volvo-wheel-loader/
30460-1,Rex's Plantimal Ambush,2019,670,32,SETS_USED,https://cdn.rebrickable.com/media/sets/30460-1/16005.jpg,https://rebrickable.com/sets/30460-1/rexs-plantimal-ambush/
30460-1,Rex's Plantimal Ambush,2019,670,32,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30460-1/16005.jpg,https://rebrickable.com/sets/30460-1/rexs-plantimal-ambush/
30528-1,Mini Master-Building MetalBeard,2019,670,42,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30528-1/20597.jpg,https://rebrickable.com/sets/30528-1/mini-master-building-metalbeard/
30568-1,Skater,2021,52,40,SETS_USED,https://cdn.rebrickable.com/media/sets/30568-1/79317.jpg,https://rebrickable.com/sets/30568-1/skater/
30570-1,Wildlife Rescue Hovercraft,2021,52,35,SETS_USED,https://cdn.rebrickable.com/media/sets/30570-1/89119.jpg,https://rebrickable.com/sets/30570-1/wildlife-rescue-hovercraft/
30582-1,Birthday Bear,2022,206,80,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30582-1/96420.jpg,https://rebrickable.com/sets/30582-1/birthday-bear/
30584-1,Winter Christmas Train,2022,228,73,SETS_USED,https://cdn.rebrickable.com/media/sets/30584-1/129492.jpg,https://rebrickable.com/sets/30584-1/winter-christmas-train/
30620-1,Star-Stuck Emmet,2019,670,41,SETS_USED,https://cdn.rebrickable.com/media/sets/30620-1/6905.jpg,https://rebrickable.com/sets/30620-1/star-stuck-emmet/
30640-1,Racing Car,2023,63,44,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30640-1/119540.jpg,https://rebrickable.com/sets/30640-1/racing-car/
30645-1,Snowman,2023,22,78,SETS_USED,https://cdn.rebrickable.com/media/sets/30645-1/122066.jpg,https://rebrickable.com/sets/30645-1/snowman/
30645-1,Snowman,2023,22,78,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30645-1/122066.jpg,https://rebrickable.com/sets/30645-1/snowman/
30645-1,Snowman,2023,22,78,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30645-1/122066.jpg,https://rebrickable.com/sets/30645-1/snowman/
30651-1,Quidditch Practice,2023,246,55,SETS_USED,https://cdn.rebrickable.com/media/sets/30651-1/131999.jpg,https://rebrickable.com/sets/30651-1/quidditch-practice/
30651-1,Quidditch Practice,2023,246,55,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30651-1/131999.jpg,https://rebrickable.com/sets/30651-1/quidditch-practice/
30652-1,Doctor Strange's Interdimensional Portal,2023,696,44,SETS_USED,https://cdn.rebrickable.com/media/sets/30652-1/141324.jpg,https://rebrickable.com/sets/30652-1/doctor-stranges-interdimensional-portal/
30652-1,Doctor Strange's Interdimensional Portal,2023,696,44,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30652-1/141324.jpg,https://rebrickable.com/sets/30652-1/doctor-stranges-interdimensional-portal/
30653-1,Batman 1992,2023,697,40,SETS_USED,https://cdn.rebrickable.com/media/sets/30653-1/124364.jpg,https://rebrickable.com/sets/30653-1/batman-1992/
30654-1,X-Wing Starfighter,2023,158,87,SETS_USED,https://cdn.rebrickable.com/media/sets/30654-1/131996.jpg,https://rebrickable.com/sets/30654-1/x-wing-starfighter/
30654-1,X-Wing Starfighter,2023,158,87,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30654-1/131996.jpg,https://rebrickable.com/sets/30654-1/x-wing-starfighter/
30657-1,McLaren Solus GT,2023,601,95,SETS_SEALED,https://cdn.rebrickable.com/media/sets/30657-1/117964.jpg,https://rebrickable.com/sets/30657-1/mclaren-solus-gt/
